"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6019582402088,5.13245033112583,5,4.99662162162162,5.00829187396352,5.18479880774963,4.99258160237389,4.98466257668712,4.98466257668712,5,5.21361815754339,5.10118694362018,5.15578635014837,5.15625,5.08333333333333,5.05836371516712,5,5,5,5.01658374792703,5.10237388724036,5.10416666666667,5.1,5,5.06229508196721,4.91978609625668,4.99324324324324,5.05836371516712,4.99662162162162,4.97799511002445,4.91538461538462,4.91978609625668,5.06229508196721,5.08919331284466,4.996875,5,5.05443234836703,5.06170988817187,5.10118694362018,5,5,4.97799511002445,4.95607242339833,4.94086811245454,4.97799511002445,4.99291242280857,5.05443234836703,5.06229508196721,5.00638569604087,4.98307692307692,5.07692307692308,4.97799511002445,4.99258160237389,5.02721617418351,4.99662162162162,5,5,5.13992537313433,5.10237388724036,5.0158924205379,5.13368983957219,5.15866240584342
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88392857142857,1.79655172413793,1.70714285714286,1.70714285714286,1.72142857142857,1.76,1.76428571428571,1.83571428571429,1.89340813464236,1.90625,1.93214285714286,1.92142857142857,1.90714285714286,1.86985887096774,1.8125,1.86,1.79375,1.71875,1.85,1.92857142857143,1.99375,1.95,1.96875,1.99375,2.003125,1.875,1.8671875,1.85,1.86666666666667,1.91818181818182,1.97183615819209,1.99375,2.0125,2.04545454545455,2.0625,2.02735760971055,2.02614379084967,1.97058823529412,1.92582046332046,1.92760617760618,1.9,1.91372549019608,1.99309523809524,1.996,2.04166666666667,2.04166666666667,2.07575757575758,2.10714285714286,2.064
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9476688867745,5,4.93653032440056,4.94407253862535,4.87587334958451,4.82085163610899,4.87587334958451,4.90421455938697,5.02225519287834,4.96758444338725,4.93740096466942,4.85744456177402,5.00428082191781,5.096011816839,5.07317755871973,4.92307692307692,4.94791666666667,4.97222222222222,4.85714285714286,4.91405242801891,4.96063059589599,4.97648544336971,4.86122485799985,4.78571428571429,4.53845508982036,4.8933588761175,4.77207977207977,4.74446085672083,4.77524366391918,4.75,4.75896168108776,4.81964285714286,4.78063934737242,4.85097636176773,4.89695841092489,4.9486301369863,4.7972972972973,4.76270997853732,4.85048818088386,4.81613562091503,4.80102171136654,4.77240352240352,4.82122905027933,4.85594715167663,4.81728922091782,4.92121212121212,5.12261146496815,5.02225519287834,4.91489426743804,5,4.9476688867745,4.90502793296089,4.77524366391918,4.80154168947272,4.93150684931507,4.81818181818182,4.8031906614786,4.85730636270205,4.98743467711833,5.14529860496481,5.03987496415406
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38928067700987,1.35809312638581,1.39285714285714,1.34750911300122,1.50513112884835,1.38999961994206,1.41983297207701,1.44793224832726,1.45786308421156,1.50988870373534,1.50561099198334,1.38928067700987,1.36692081468991,1.39607383607571,1.40353635289974,1.40559111525582,1.40909090909091,1.41425425310694,1.36269430051813,1.3992628992629,1.39109829608426,1.39037935315207,1.49349964121396,1.51134644478064,1.49633123689727,1.49895178197065,1.48846960167715,1.48439821693908,1.48662826420891,1.46814044213264,1.4666813955247,1.48433738770245,1.52015604681404,1.51001987083954,1.48809523809524,1.48166631923419,1.43562874251497,1.41051454138702,1.43758765778401,1.43758765778401,1.43758765778401,1.43758765778401,1.43758765778401,1.44785185980559,1.46285714285714
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,,,,,,,,,,,,,,,,,1.95941558441558,1.92455858747994,1.96428571428571,1.96555555555556,1.97333333333333,2.03,2.14285714285714,2.03,2.105,2.15633423180593,2.10609001040583,2.18075776056937,2.16228632478632,2.11128231809814,2.09428571428571,2.11538461538462,2.09600614439324,2.15328467153285,2.2,2.26,2.15454545454545,2.10526315789474,2.1335615801992,2.18940936863544,2.16441441441441,2.16860465116279,2.13374015162777,2.10242587601078,2.08116861530863,2.09044467787115,2.10526315789474,2.09285714285714,2.125,2.07857142857143,2.07692307692308,2.11749788672866,2.11757247277609,2.11757247277609,2.17718940936864,2.13482049947971,2.01277777777778,2.125,2.10526315789474,2.07682584269663,2.075,2.04615384615385,2.03411764705882,2.07019704433498,2.25290398126464,2.24,2.125,2.37376062322946,2.20714285714286,2.17164179104478,2.14814814814815,2.17857142857143,2.104,2.15281059063136,2.17111111111111,2.10481825866441,2.08080808080808,2.0871327254306,2.1,2.08666666666667,2.13928571428571,2.09470551378446,2.12857142857143,2.15,2.15456674473068,2.16666666666667,2.18265644426026,2.125,2.13197969543147,2.16598148148148,2.21714285714286,2.21428571428571,2.29166666666667,2.33333333333333,2.30697190426639,2.32897093263535,2.3125,2.29583333333333,2.2302380952381,2.12666666666667,2.11875,2.1875,2.3,2.39192139737991,2.39111111111111,2.37125,2.34946871310508,2.37268919465803,2.42388758782201
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20165745856354,1.30208913967195,1.31046511627907,1.36533665835411,1.36533665835411,1.36533665835411,1.34715779105236,1.36644809108182,1.36533665835411,1.35267857142857,1.35267857142857,1.35267857142857,1.36889460154242,1.38998035363458,1.38998035363458,1.39136904761905,1.39067470062681,1.3764880952381,1.29371316306483,1.36889460154242,1.27232142857143,1.25321336760925,1.29567882567883,1.22767857142857,1.31046511627907,1.31046511627907,1.25744047619048,1.25069060773481
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23969465648855,1.1969696969697,1.1969696969697,1.16386554621849,1.19779598510942,1.24172356070499,1.21928817451206,1.17919075144509,1.1969696969697,1.17919075144509,1.1621271076524,1.1827731092437,1.22566514225075,1.21660181582361,1.19195849546044,1.21428571428571,1.23669467787115,1.15697048049989,1.33608107298516,1.33608107298516,1.27885862516213,1.25925925925926,1.24929971988796,1.26587962962963,1.2210118098276,1.3301620749488,1.29131652661064,1.296918767507,1.37479243194284,1.41176470588235,1.42156862745098,1.41044427710843,1.3532457846952,1.32684824902724,1.31296296296296,1.30112044817927,1.31293103448276,1.27895564615331,1.32122905027933,1.34036144578313,1.3515406162465
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61030595813205,1.60714285714286,1.60714285714286,1.59166666666667,1.56428571428571,1.61397650847779,1.67857142857143,1.65,1.61030595813205,1.59090909090909,1.60634920634921,1.59375,1.57692307692308,1.61706730769231,1.56904761904762,1.55791666666667,1.56521739130435,1.6,1.58321428571429,1.56666666666667,1.57692307692308,1.625,1.61474936474936,1.7,1.71428571428571,1.68159340659341,1.67857142857143,1.66666666666667,1.69732142857143,1.66666666666667,1.66666666666667,1.7053952991453,1.72972972972973,1.69724770642202,1.69565217391304,1.72270833333333,1.6551724137931,1.72666666666667,1.74375,1.7269696969697,1.7414402173913,1.65151515151515,1.71666666666667,1.72666666666667,1.72413793103448,1.72413793103448,1.74324324324324,1.77298560242485,1.73218390804598,1.72666666666667,1.72666666666667,1.6875,1.74340277777778,1.75,1.75757575757576,1.8135593220339,1.81359784283513,1.81749394673123,1.80909090909091,1.80909090909091,2.09090909090909,2,1.97086148648649,1.81636363636364,1.86666666666667,1.84545454545455,1.84129429892142,1.90147679324895,1.93333333333333,1.9,1.9,1.93548387096774,1.91836734693878
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01722090261283,3.34370139968896,3.50701402805611,3.3452807646356,3.53846153846154,3.39117647058824,3.46888346552776,3.75407166123779,3.56315789473684,3.68917685068128,3.75656329743523,3.8106055357995,4.25797615211086,4.20560747663551,4.48423202614379,3.88888888888889,4.296875,4.88668555240793,4.67447916666667,4.53598484848485,4.18797462327707,4.12131919905771,4.21452702702703,4.6041592605759,4.65616045845272,4.6464283008863,4.49248120300752,4.94269340974212,4.39230769230769,4.735,4.44444444444444,4.94269340974212,5,4.99431818181818,5.04789012379145,5.01416430594901,5.03541076487252,4.88668555240793,4.99545454545455,5,5,4.72080536912752,4.68333333333333,4.95010024594755,4.82025842178126,4.95750708215297,4.96651445966514,4.88778722064841,4.94269340974212,4.95010024594755,4.78611111111111,4.91666666666667,4.91468948107503,4.95750708215297,4.88668555240793,4.90282685512368,4.76136363636364,4.95750708215297,4.97375354107649,4.795,4.93303571428571,4.88668555240793,4.95750708215297,4.87331514762516,4.73717948717949,4.62583762886598,4.71818181818182,4.67735768903993,4.78260869565217,4.7831181938911,5,4.88668555240793,4.97375354107649,4.96151216176614,4.96551724137931,4.99083333333333,5.06093117408907,5.15550506927543,5.08315716037377,4.98910984848485,5.06478209658422,5.08146639511202,5.08181818181818,5.19422764227642,5.22435897435897,5.16129032258065
"10016","New York","NY","New York-Newark-Jersey City","New York County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30176767676768,5.27483824810253,5.23341740226986,5.27482269503546,5.26074074074074,5.29925925925926,5.26315789473684,5.33235724743777,5.33692307692308,5.36844444444444,5.33333333333333,5.33692307692308,5.2887537993921,5.33512820512821,5.33796336106178,5.31304442508711,5.2887537993921,5.27485380116959,5.26315789473684,5.26699320137982,5.26756756756757,5.18081761006289,5.33333333333333,5.30176767676768,5.22536945812808,5.33333333333333,5.23995396915126,5.17482517482518,5.20252365930599,5.12874779541446,5.26641883519207,5.31956359469291,5.37106918238994,5.33655926691443,5.39247220866547,5.37783674963397,5.39188977201422,5.29532828282828,5.26641883519207,5.24737762237762,5.21770682148041,5.22394127356666,5.26699320137982,5.33333333333333,5.35851851851852,5.33900364520049,5.3517606276227,5.41600182600089,5.38185185185185,5.42476970317298,5.37153459119497,5.43454864028034,5.44268077601411,5.4327868852459,5.42841463414634,5.44444444444444,5.50263774912075,5.50677513558615,5.57319223985891,5.64373897707231,5.63848484848485
