"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60362961188309,1.6,1.6,1.68825910931174,1.69230769230769,1.78055555555556,1.71428571428571,1.66611111111111,1.70102272727273,1.74183156925909,1.78333333333333,1.77219482114399,1.77634606534745,1.78817303267372,1.85953488372093,1.8,1.85,1.90166666666667,1.88984881209503,1.775,1.77777777777778,1.63495575221239,1.6,1.60555555555556,1.7220019587714,1.76106194690265,1.77210773089085,1.78472222222222,1.84230769230769,1.91852678571429,1.8975
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",2,,,,,,,,,,,0.799031476997579,0.787853250873225,0.796927938129104,0.814203768444466,0.81453634085213,0.870891749023213,0.867609254498715,0.858456423171224,0.830677940803838,0.802811794276548,0.799824196236804,0.801068090787717,0.830234333133049,0.837983760324343,0.829056454796684,0.888236917050629,0.897097625329815,0.874906924795235,0.85808078375915,0.859306728808622,0.865998176845943,0.882436855266356,0.88785046728972,0.882809069416121,0.887311446317657,0.887796481614585,0.88137163370027,0.878243512974052,0.882240122746452,0.894854586129754,0.903604058950904,0.919842312746386,0.902602854743913,0.89748076036933,0.890150318517958,0.865185950413223,0.857441140424846,0.878647214854111,0.878284422475442,0.872405470524231,0.891136801541426,0.897908979089791,0.882894553055296,0.891224862888483,0.886192874275374,0.867052023121387,0.865261423717933,0.85508752053606,0.874769797421731,0.871839581517001,0.857051159035714,0.853617527826082,0.85999312005504,0.851098720892096,0.839741442607022,0.851900393184797,0.846598820832243,0.828281620588232,0.815128790348875,0.782489430846937,0.794701986754967,0.784873349982162,0.784933459715551,0.802103662506524,0.791033134223137,0.788804071246819,0.817661488143908,0.83990904013831,0.820419325432999,0.812411083421653,0.819760028697678,0.825423029302518,0.841810647422508,0.856241550247859,0.834946757018393,0.845864661654135,0.842552736445964,0.849337834548187,0.859310910582445,0.84515189574088,0.833965125094769,0.818639798488665,0.818619582664527,0.814736096351399,0.820903827811704,0.831820931639443,0.831443688586546,0.833333333333333,0.831545972149178,0.833333333333333,0.832851198223893,0.839487106983219,0.830539196220667
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78947368421053,2.10783904204957,1.97297297297297,2.11764705882353,2.16666666666667,2.15,2.0075,1.88888888888889,1.9,1.82986111111111,1.89444444444444,1.86019536019536,1.77604166666667,1.8854271991911,2.0625,2.1304347826087,2.16614583333333,2.10600328947368,1.94286871961102,1.89814814814815,1.86666666666667,1.73076923076923,1.95227272727273,2.16333333333333,2.21944444444444,2.19666666666667,2.12080627705628,2.1123595505618,2.165625,2.11764705882353,2
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,0.59756688277815,0.633971291866029,0.627853881278539,0.617529880478088,0.627853881278539,0.618792378288999,0.610902255639098,0.617750882501261,0.643004115226337,0.610902255639098,0.610032024505709,0.604297224709042,0.617283950617284,0.612244897959184,0.618485863112807,0.612959719789842,0.614409036184375,0.620304429317305,0.641319285387082,0.648500027921849,0.651302605210421,0.635941541803333,0.648252730806585,0.620963735717834,0.615893447714055,0.620664476086163,0.626849112426035,0.636023737237416,0.644850701318233,0.655178868820925,0.689479779641918,0.703828828828829,0.703720142932472,0.708888888888889,0.703957382039574,0.721276595744681,0.717781155015198,0.708366219415943,0.710659898477157,0.751133786848073,0.720260223048327,0.716180371352785,0.703957382039574,0.756654677405983,0.735294117647059,0.740043057050592,0.696869321709496,0.708745092207594,0.731215330307615,0.719581334496293,0.738760620475079,0.747915644923982,0.753539865263743,0.729977116704805,0.736607142857143,0.745313664289583,0.692964435084113,0.706773905358412,0.708019270310705,0.728633320204805,0.718020451102863,0.728298185384993,0.728298185384993,0.728298185384993,0.732012063765618,0.733207190160833,0.728298185384993,0.726600985221675,0.743348982785602,0.723366944322665,0.709651510576869,0.720949957591179,0.728551737417285,0.747915644923982,0.748502994011976,0.747915644923982,0.762873911397198,0.750759832662078,0.744036422341817,0.738683127572016,0.735631167545008,0.734760282678326,0.74772506022506,0.735623250858669,0.751515055463987,0.760459022318605,0.756776432519827,0.769230769230769,0.791457286432161,0.791457286432161,0.793040535046349,0.804044294655753,0.776699029126214
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645638722529467,0.639225442442533,0.663963989281475,0.657155136850652,0.630693763139453,0.663632916192643,0.66649387745116,0.663632916192643,0.662715590912387,0.663632916192643,0.662251655629139,0.665443629086057,0.677080792476353,0.681431005110733,0.673885052746601,0.677290836653386,0.696022727272727,0.683890577507599,0.678866587957497,0.650630914826498,0.675427512921288,0.696022727272727,0.72400724971889,0.717821865538691,0.717131474103586,0.696692483892561,0.696022727272727,0.684531875407676,0.688976377952756,0.695548489666137,0.667372881355932,0.673036852804118,0.676246830092984,0.690349293563579,0.679824561403509,0.690628815628816,0.679510971736356,0.688775510204082,0.691402447503824,0.683624932650639,0.696443419385493,0.688838029319022,0.654450261780105,0.682182985553772,0.689501779359431,0.671089005710142,0.695825049701789,0.695923888487258,0.701754385964912,0.692809151399931,0.705440070765148,0.69416088199265,0.705082491051469,0.696668388429752,0.688093225234213,0.691514299109236,0.693160813308688,0.687636416481997,0.71875,0.719716394331961,0.71589218618977,0.697413456311999,0.709432454036771,0.712613186477845,0.724054706355591,0.715793918918919,0.732906364592321,0.728643216080402,0.723287888395688,0.734603869315799,0.705546077457445,0.728383458646617,0.748300803785257
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30555555555556,1.49152542372881,1.38,1.38228941684665,1.42857142857143,1.3844220193477,1.25,1.22222222222222,1.18577075098814,1.17647058823529,1.25,1.28421396999542,1.3462962962963,1.4625,1.42857142857143,1.38888888888889,1.39087301587302,1.28452380952381,1.30769230769231,1.3,1.3,1.3,1.3,1.3,1.38228941684665,1.3875732798519,1.47826086956522,1.4904625110162,1.5296875
"28269","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.665134724085138,0.671360551313695,0.711335676625659,0.722350288600289,0.716701902748414,0.719246031746032,0.704550604374643,0.70911885207618,0.698529411764706,0.698529411764706,0.698308295377126,0.687631027253669,0.690789473684211,0.713228114243833,0.715046155511938,0.71723619977469,0.723450261225886,0.738744291542521,0.73079971791278,0.739697620512006,0.736468500443656,0.732256853173113,0.717821782178218,0.747367104387652,0.749141292298829,0.756217201782735,0.773710936927877,0.757366482504604,0.765744856146192,0.74684529266998
"30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton County",8,,,,,,,0.541682795883125,0.574486238294636,0.577179840988238,0.61396792741114,0.584567420109119,0.580820948336872,0.563173359451518,0.5546875,0.564754473994905,0.56941431670282,0.599582898852972,0.56390977443609,0.552534405461277,0.540413533834586,0.554687364366058,0.551470588235294,0.560044753477072,0.552483175473579,0.538687561214496,0.554148195060165,0.557230017897896,0.582399667001977,0.560363980845816,0.58125,0.57815566848744,0.573197150197925,0.569719042663892,0.562060889929742,0.565432293861497,0.565262076053443,0.560879368658399,0.560860707919531,0.564238356683504,0.564238356683504,0.566394927536232,0.579268292682927,0.594388968140751,0.589235242967279,0.581382193216463,0.58637798827244,0.562715917201999,0.579191238416175,0.578235947992934,0.581395348837209,0.573575949367089,0.576477404403244,0.587544065804935,0.583333333333333,0.588140633585062,0.588768115942029,0.587544065804935,0.589225589225589,0.58058635716443,0.602602257643136,0.608669833729216,0.582072176949942,0.587008868440277,0.598184818481848,0.601556970983723,0.589511922503726,0.61915165559529,0.609243697478992,0.604651162790698,0.615182778168657,0.613611007809595,0.595546349041947,0.609756097560976,0.633521055690867,0.619519634006862,0.612110868163156,0.608646578506962,0.622637474249319,0.637254901960784,0.657596371882086,0.648298217179903,0.641037735849057,0.645563310069791,0.627059616536848,0.650981172217562,0.644661929102772,0.643776824034335,0.648298217179903,0.681547606408204,0.714678394722375,0.712318881543056,0.663227708179808,0.663227708179808,0.672613307618129,0.68259385665529,0.684047073787427,0.714994759600957,0.69065088835262,0.721476510067114,0.722543352601156,0.709301023242478,0.708146451082994,0.71080750094084
"79912","El Paso","TX","El Paso","El Paso County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.743656835512241,0.756693830034924,0.751764344891071,0.749556232233385,0.739497887148894,0.744859420898028,0.74249486292788,0.714141838883073,0.716221447928765,0.731850731064238,0.738786279683377,0.77652900254456,0.800317152310301,0.740095777100566,0.740095777100566,0.763205828779599,0.759577278731836,0.798580301685892,0.77783650334136,0.777826086956522,0.776488415909471,0.754254694925262,0.730240549828179,0.709129331726332,0.749354005167959,0.722740670481086,0.786225966573236,0.774647887323944
"94565","Pittsburg","CA","San Francisco-Oakland-Hayward","Contra Costa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27755511022044,1.31367292225201,1.38821505534807,1.37535816618911,1.3550576202008,1.4042303172738,1.28084896347483,1.35208220659816,1.37276241477449,1.24545926310327,1.38441725692209,1.33475707421249,1.4222300355997,1.41823056300268,1.38441725692209,1.33475707421249,1.33475707421249,1.30466666666667,1.25949620151939,1.31741417889901,1.38173302107728,1.38173302107728
