"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",1,,,,,,,,,,,1.41531124497992,1.37837837837838,1.35943223443223,1.37837837837838,1.41774891774892,1.39130434782609,1.39208074534161,1.4,1.41485507246377,1.43333333333333,1.44303797468354,1.43574134199134,1.48648648648649,1.48809523809524,1.48809523809524,1.48648648648649,1.47727272727273,1.51515151515152,1.5,1.54545454545455,1.54220779220779,1.54220779220779,1.53645833333333,1.53137254901961,1.53137254901961,1.53645833333333,1.44444444444444,1.5,1.53571428571429,1.60714285714286,1.64705882352941,1.6056338028169,1.61111111111111,1.65485893416928,1.67567567567568,1.65384615384615,1.63186274509804,1.67567567567568,1.6780303030303,1.7,1.71428571428571,1.7,1.60731969860065,1.58333333333333,1.59966666666667,1.57974683544304,1.5536398467433,1.54631661442006,1.57879385964912,1.57916666666667,1.5,1.66666666666667,1.6969696969697,1.6969696969697,1.72,1.66666666666667,1.625,1.58536585365854,1.58333333333333,1.58154008438819,1.59375,1.625,1.60456730769231,1.6,1.65258620689655,1.80853365384615,1.71428571428571,1.73166666666667,1.65108695652174,1.64466666666667,1.61111111111111,1.6278801843318,1.61132478632479,1.684375,1.8033988957902,1.8276268115942,1.75132508833922,1.81590909090909,1.77777777777778,1.73065037558239,1.66291666666667,1.63181818181818,1.625,1.66538461538462,1.73333333333333,1.75,1.78846153846154,1.84615384615385,1.8775,1.85535714285714,1.82352941176471,1.79746835443038,1.73333333333333,1.71870882740448,1.6625,1.68354430379747,1.73076923076923,1.81363636363636,1.85178571428571,1.9,1.86363636363636,1.85714285714286,1.83333333333333
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94274810517185,0.976403580146461,1.02814814814815,0.956632653061224,0.973186379611414,0.934447589060844,1.03112472730423,0.973549461971142,1.00814814814815,0.996583143507973,0.999428306295259,1.05509964830012,1.05509964830012,1.07764009099169,1.07350237424441,1.04372373019403,1.0590015128593,1.16037797684073,1.08332520127146,1.06177606177606,1.04314841156946,0.991571641051066,0.98915100534781,0.973015049299429,0.975059176656946,0.982142857142857,0.95,0.923323966278603,0.937740160087019,0.946173924115101,0.959401481670134,0.966562173458725,0.981415494148596,0.989681542007123,0.997229916897507,0.996328682098908,1.00071678002746,1.00525325650237,0.982788394047248,0.9842091426131,0.969962214382945,0.955351280367695,0.960658737419945,0.99906596259804,1.00895167540161,0.996583143507973,0.991407799074686,0.98265020539323,0.956860201102822,0.920160788664242,0.947867298578199,0.946151021773798,0.963738219076297,0.967652974348168,0.96513610447711,0.952174898518473,0.919906093297421,0.972461273666093,0.996280552603613,1.00354191263282,0.980819529206626,0.979431929480901,1.02379634753735,1.05633802816901,1.04845134786315,1.05633802816901,1.05177993527508,1.04441186113685,1.0310177506936,1.01634164835319,0.968436154949785,0.979153506001263,0.979325353645267,0.971479709873069,0.989439632591765,1.04512276045123,1.00052659294365,1.03359173126615,1.03986135181976,1.02208366006886,1.01038961038961,1.02040816326531,0.985468827808792,0.982996811902232
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,1.45588235294118,1.42016806722689,1.42857142857143,1.46446078431373,1.496875,1.5,1.59545454545455,1.6,1.6,1.6,1.61052631578947,1.61608187134503,1.69973544973545,1.60801551389787,1.64835164835165,1.69230769230769,1.69230769230769,1.82458333333333,1.80625,1.8,1.66666666666667,1.703125,1.74875,1.75,1.76666666666667,1.81451612903226,1.53571428571429,1.78247734138973,1.74962235649547,1.82378472222222,1.82916666666667,1.82142857142857,1.76666666666667,1.75,1.65472582972583,1.68846153846154,1.7,1.70714285714286,1.71428571428571,1.70479302832244,1.83782051282051,1.83333333333333,1.8,1.76923076923077,1.82367424242424,1.70855614973262,1.6875,1.71122994652406,1.68846153846154,1.69423076923077,1.66666666666667,1.86333333333333,1.8,1.86666666666667,1.86666666666667,1.78739583333333,1.77777777777778,1.94222222222222,1.84675141242938,1.84183114035088,1.99285714285714,1.86758474576271,1.875,1.95539754363284,1.998,2,2,1.98052505487481,1.86064030131827,1.88194444444444,1.93333333333333,1.69230769230769,1.85,1.94444444444444,1.92857142857143,2.05,2.0625,2.02003205128205,1.99642857142857,1.99615384615385,1.88888888888889,1.84210526315789,1.88235294117647,1.9275,1.95,1.96458333333333,2,2.09090909090909,2.09615384615385,2.028125,2.07225274725275,2.0263179149009,1.9903988183161,1.95,1.99583333333333,2,2.08712121212121,2,2.04083333333333,2.04205349248453,2.04045092838196,2.03333333333333,2
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,0.730121233731503,0.759668508287293,0.761778698588091,0.733048259010385,0.741748148471489,0.729208321608239,0.763358778625954,0.763358778625954,0.74424898511502,0.752148997134671,0.785634600028184,0.75609756097561,0.749664270925681,0.752795418999709,0.752351097178683,0.745762711864407,0.742199537750385,0.747126436781609,0.750972762645914,0.737100737100737,0.749318801089918,0.772629081918106,0.773963730569948,0.789243518371677,0.784632034632035,0.796914539183789,0.78984413119566,0.795107033639144,0.804596642348118,0.798525798525799,0.791740083033698,0.78125,0.798904401359651,0.801058852939076,0.80033698399326,0.803763440860215,0.813177648040033,0.827463676008961,0.818286769799123,0.819397993311037,0.83090730725766,0.830050647158132,0.827266710787558,0.837893296853625,0.84411930219471,0.839819830428639,0.84411930219471,0.852842809364548,0.84411930219471,0.851595384050397,0.847921225382932,0.84411930219471,0.84411930219471,0.842492675350348,0.843279083785413,0.84411930219471,0.837678700631222,0.834028356964137,0.850694444444444,0.83446251129178,0.868944099378882,0.857632933104631,0.830050647158132,0.867224880382775,0.865243004418262,0.874352331606218,0.880447585394582,0.822479013477201,0.861700334927222,0.869297163995068,0.862913096695226,0.869796431459899,0.89527027027027,0.885594790241678,0.870060595839238,0.864754286238196,0.876623376623377,0.860049321824908,0.886379192334018,0.893427294289363,0.864358974358974,0.886524822695035,0.907287578908253,0.907817593241355,0.915841584158416,0.924838520258368,0.91379040849653,0.903754617789145,0.883446091913024,0.885466081593928,0.896700143472023,0.88957968931299,0.912298180446566,0.907258064516129,0.910544900519807,0.923028785982478,0.936206322196112,0.948275862068966,0.933295625942685
"79936","El Paso","TX","El Paso","El Paso County",5,,,,,,,,,,,,,,,0.747615653531548,0.778308118756931,0.752334490118879,0.7631822386679,0.754962156904465,0.764802798166067,0.778102664067576,0.793923661759247,0.773014757554462,0.762873490146217,0.768292682926829,0.783066032431238,0.781758957654723,0.784234899999709,0.784077201447527,0.787810055431636,0.786011629443637,0.769020747264193,0.759117896522477,0.744558991981672,0.746599539817963,0.751228066833504,0.746268656716418,0.749132229998752,0.752212389380531,0.752688172043011,0.757575757575758,0.757575757575758,0.746885174224275,0.742569798646797,0.745682888540031,0.745712155108128,0.7398753894081,0.735430157261795,0.735430157261795,0.735932132894463,0.753217691285013,0.744558991981672,0.753148119995946,0.749095624872022,0.777777777777778,0.771998872964616,0.750441696113074,0.745341444270016,0.735430157261795,0.754048582995951,0.758293838862559,0.753486986213117,0.746527777777778,0.762452050411798,0.748278280548016,0.749525907971792,0.756079027355623,0.77247191011236,0.755762633846469,0.756253635834788,0.754680471990186,0.744601638123604,0.75065274151436,0.769231273570308,0.76036866359447,0.756533700137552,0.764317726363317,0.740302968403791,0.733590733590734,0.77319587628866,0.726158679283679,0.773615635179153,0.748403591022201,0.756347928873384,0.756456900949134,0.77072953558637,0.763613403058024,0.717109452201489,0.73633298995047,0.734658599827139,0.745762711864407,0.750428816466552,0.756266205704408,0.75885328836425,0.758620689655172,0.75642965204236,0.770437439991752,0.782918149466192,0.764279967819791,0.753228120516499,0.76036866359447,0.768716577540107,0.757273934564771,0.770591395808574,0.764705882352941,0.776419841840403,0.785485347985348,0.782312925170068,0.794424854410429,0.79136690647482,0.786308973172988,0.806929911091339,0.803072625698324
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867052023121387,0.828342245989305,0.81351689612015,0.797539680995679,0.810055865921788,0.802512212142359,0.784799437925861,0.781391445383223,0.78125,0.782976833681121,0.781494293308318,0.783032448909787,0.803672277608264,0.797167933765872,0.796562224764036,0.811688311688312,0.80824008138352,0.820568927789934,0.828729281767956,0.825991189427313,0.816807551925432,0.807381776239908,0.809643040194094,0.808913308913309,0.803402646502836,0.811328263859909,0.811166413220858,0.797448165869219,0.794726114003222,0.827651009507877,0.826140567200986,0.819155639571519,0.831342017371532,0.820311533173879,0.802615933412604,0.823723228995058,0.830251344453559,0.821695574162679,0.818281580669206,0.826140567200986,0.818854763851244,0.844806007509387,0.843648425000115,0.844806007509387,0.850126202193505,0.842696629213483,0.852757248436612,0.856072766185126,0.847457627118644,0.85094827984655,0.851197982345523,0.85427135678392,0.848833083408605,0.851032503821768,0.85082856494179,0.846806836250577,0.841346153846154,0.846333854706152,0.851428571428571,0.849179703535134,0.865265760197775,0.873891350887819,0.887347391786903,0.891921233902366,0.885478158205431,0.88369441277081
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3125,1.27416666666667,1.25,1.2,1.2,1.22222222222222,1.25,1.14087301587302,1.2695652173913,1.2973241301059,1.36363636363636,1.36666666666667,1.40354524565051,1.46103896103896,1.38235294117647,1.29166666666667,1.26424501424501,1.24727668845316,1.21091545399214,1.23529411764706,1.23,1.32916666666667,1.38461538461538,1.35357142857143,1.30769230769231,1.28,1.22495132804895,1.22058823529412,1.23333333333333,1.20925925925926,1.25925925925926,1.22061403508772,1.41452991452991,1.40740740740741,1.40740740740741,1.42857142857143,1.42857142857143,1.3968253968254,1.39285714285714,1.39450549450549,1.35386904761905,1.4,1.38461538461538,1.44444444444444,1.51470588235294,1.59166666666667,1.46666666666667,1.49378109452736,1.48166666666667,1.43010752688172,1.38050314465409,1.47337121212121,1.495,1.54545454545455,1.51666666666667,1.53333333333333,1.65833333333333,1.66666666666667,1.57291666666667,1.53846153846154,1.48125,1.39379518385604,1.36458333333333,1.35416666666667,1.3094494047619,1.375,1.45,1.56696428571429,1.5625,1.58333333333333,1.5625,1.57142857142857,1.54682817182817,1.44771634615385,1.4375,1.49722222222222,1.52814814814815,1.5480476673428,1.55481173660687,1.53061224489796,1.5,1.63265306122449,1.6,1.63333333333333
"10016","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86455981941309,4.85254901960784,4.87209302325581,4.74911214612728,4.75632848645076,4.76078431372549,4.76078431372549,4.75187265917603,4.78038386259705,4.81333333333333,4.83863424035349,4.78038386259705,4.75187265917603,4.86026253950247,4.78038386259705,4.71882799045231,4.65601111883252,4.67338429464906,4.69130434782609,4.78038386259705,4.84843205574913,4.67819070640234,4.6875,4.65601111883252,4.61094127111826,4.6,4.74911214612728,4.73428692765038,4.75187265917603,4.69130434782609,4.67338429464906,4.71882799045231,4.87209302325581,4.87209302325581,4.94819607843137,4.94039215686275,4.90757751937984,4.96627450980392,4.80889506601807,4.73307918673087,4.86196078431373,4.81888745148771,4.80889506601807,4.67164697706741,4.77632392648724,4.87209302325581,4.98510416666667,5.06180105944673,4.97674418604651,4.94980392156863,4.92015503875969,4.80889506601807,4.87209302325581,4.69859335038363,4.79243202913307,4.75187265917603,4.72826433514743,4.6977757260366,4.69130434782609,4.87209302325581,4.996875,4.96961240310078
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999883666016212,1.14798061495785,1.07099143206854,1.12202869196365,1.11251931866458,1.06095679012346,1.10126037312036,1.0443864229765,1.04166666666667,1.01256983240223,1.12281641397495,1.06069802731411,1.06003651365706,1.09170197511115,1.0653558319721,1.11220472440945,1.12241853814812,1.13320315808113,1.13320315808113,1.10407876230661,1.10122501611863,1.05473501303215,1.10407876230661,1.05328942405936,1.08208955223881,1.08653846153846,1.0989010989011,1.09432234432234,1.07371794871795,1.18263473053892
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",10,,,,,,,,,,,,0.673082974211642,0.692192974939062,0.68359375,0.662086049052481,0.708530805687204,0.741308793456033,0.731951871657754,0.689163498098859,0.653922569116946,0.652064451158107,0.652064451158107,0.644483067952456,0.663888888888889,0.669315403422983,0.672494956287828,0.700934579439252,0.684931506849315,0.662576219512195,0.661397670549085,0.678847068819031,0.679694137638063,0.667651796731479,0.692307692307692,0.701620760383855,0.698529411764706,0.702022209375151,0.709576985346009,0.709007771869339,0.715962508014222,0.727096461463888,0.725949295714309,0.724981857764877,0.704122966812668,0.716911764705882,0.759978473996227,0.726885644768856,0.727434679334917,0.730868443680138,0.734126984126984,0.752739726027397,0.791915354273556,0.767746913580247,0.770925110132159,0.7637825594507,0.728337016632936,0.737516024198668,0.751002608492088,0.753289473684211,0.752827914163547,0.755111524163569,0.754054054054054,0.764705882352941,0.807235421166307,0.789958687651947,0.767746913580247,0.747201721355568,0.767746913580247,0.768679812301543,0.773596176821983,0.81,0.805995575221239,0.817191283292978,0.818050193050193,0.850663360031757,0.802485290401762,0.818282316109559,0.859375,0.868482039397451,0.835996533956973,0.82239696355757,0.789499509322866,0.837506052040853,0.848141122443927,0.835322195704057,0.855263157894737,0.887109029619805,0.891530460624071,0.894402769763416,0.890979524073049,0.875943928168672,0.873493975903614,0.863157894736842,0.89116752916261,0.894618834080718,0.918079096045198,0.923659673659674,0.928217821782178,0.943983402489627,0.966666666666667,0.957854406130268,0.933734939759036,0.926995619647382,0.925054446170352,0.927546598519408,0.9375,0.957508905296034,0.934844192634561,0.946561954941311,0.94331983805668,0.966447848285923,0.966068417778822,0.980333730631704
